NAME	TILLAGE	FERTILIZATION	BENEFICIALS	BLOCK
MP.Ext.C.1	Mouldplough	Extensive	control	1
MP.Ext.C.2	Mouldplough	Extensive	control	2
MP.Ext.C.3	Mouldplough	Extensive	control	3
MP.Ext.C.4	Mouldplough	Extensive	control	4
MP.Int.C.1	Mouldplough	Intensive	control	1
MP.Int.C.2	Mouldplough	Intensive	control	2
MP.Int.C.3	Mouldplough	Intensive	control	3
MP.Int.C.4	Mouldplough	Intensive	control	4
CT.Ext.C.1	cultivator	Extensive	control	1
CT.Ext.C.2	cultivator	Extensive	control	2
CT.Ext.C.3	cultivator	Extensive	control	3
CT.Ext.C.4	cultivator	Extensive	control	4
CT.Int.C.1	cultivator	Intensive	control	1
CT.Int.C.2	cultivator	Intensive	control	2
CT.Int.C.3	cultivator	Intensive	control	3
CT.Int.C.4	cultivator	Intensive	control	4
MP.Ext.I.1	Mouldplough	Extensive	Inoculated	1
MP.Ext.I.2	Mouldplough	Extensive	Inoculated	2
MP.Ext.I.3	Mouldplough	Extensive	Inoculated	3
MP.Ext.I.4	Mouldplough	Extensive	Inoculated	4
MP.Int.I.1	Mouldplough	Intensive	Inoculated	1
MP.Int.I.2	Mouldplough	Intensive	Inoculated	2
MP.Int.I.3	Mouldplough	Intensive	Inoculated	3
MP.Int.I.4	Mouldplough	Intensive	Inoculated	4
CT.Ext.I.1	cultivator	Extensive	Inoculated	1
CT.Ext.I.2	cultivator	Extensive	Inoculated	2
CT.Ext.I.3	cultivator	Extensive	Inoculated	3
CT.Ext.I.4	cultivator	Extensive	Inoculated	4
CT.Int.I.1	cultivator	Intensive	Inoculated	1
CT.Int.I.2	cultivator	Intensive	Inoculated	2
CT.Int.I.3	cultivator	Intensive	Inoculated	3
CT.Int.I.4	cultivator	Intensive	Inoculated	4
