NAME	TILLAGE	FERTILIZATION	BENEFICIALS
M01_MPExtC1_bacteria	MP	Ext	Control
M02_MPExtC2_bacteria	MP	Ext	Control
M03_MPExtC3_bacteria	MP	Ext	Control
M04_MPExtC4_bacteria	MP	Ext	Control
M05_MPIntC1_bacteria	MP	Int	Control
M06_MPIntC2_bacteria	MP	Int	Control
M07_MPIntC3_bacteria	MP	Int	Control
M08_MPIntC4_bacteria	MP	Int	Control
M09_CTExtC1_bacteria	CT	Ext	Control
M10_CTExtC2_bacteria	CT	Ext	Control
M11_CTExtC3_bacteria	CT	Ext	Control
M12_CTExtC4_bacteria	CT	Ext	Control
M13_CTIntC1_bacteria	CT	Int	Control
M14_CTIntC2_bacteria	CT	Int	Control
M15_CTIntC3_bacteria	CT	Int	Control
M16_CTIntC4_bacteria	CT	Int	Control
M17_MPExtI1_bacteria	MP	Ext	BMc
M18_MPExtI2_bacteria	MP	Ext	BMc
M19_MPExtI3_bacteria	MP	Ext	BMc
M20_MPExtI4_bacteria	MP	Ext	BMc
M21_MPIntI1_bacteria	MP	Int	BMc
M22_MPIntI2_bacteria	MP	Int	BMc
M23_MPIntI3_bacteria	MP	Int	BMc
M24_MPIntI4_bacteria	MP	Int	BMc
M25_CTExtI1_bacteria	CT	Ext	BMc
M26_CTExtI2_bacteria	CT	Ext	BMc
M27_CTExtI3_bacteria	CT	Ext	BMc
M28_CTExtI4_bacteria	CT	Ext	BMc
M29_CTIntI1_bacteria	CT	Int	BMc
M30_CTIntI2_bacteria	CT	Int	BMc
M31_CTIntI3_bacteria	CT	Int	BMc
M32_CTIntI4_bacteria	CT	Int	BMc
