NAME	TILLAGE	FERTILIZATION	BENEFICIALS	TREATMENT
MPExtC1	MP	Ext	Control	MPExt
MPExtC2	MP	Ext	Control	MPExt
MPExtC3	MP	Ext	Control	MPExt
MPExtC4	MP	Ext	Control	MPExt
MPIntC1	MP	Int	Control	MPInt
MPIntC2	MP	Int	Control	MPInt
MPIntC3	MP	Int	Control	MPInt
MPIntC4	MP	Int	Control	MPInt
CTExtC1	CT	Ext	Control	CTExt
CTExtC2	CT	Ext	Control	CTExt
CTExtC3	CT	Ext	Control	CTExt
CTExtC4	CT	Ext	Control	CTExt
CTIntC1	CT	Int	Control	CTInt
CTIntC2	CT	Int	Control	CTInt
CTIntC3	CT	Int	Control	CTInt
CTIntC4	CT	Int	Control	CTInt
MPExtI1	MP	Ext	BMc	MPExt
MPExtI2	MP	Ext	BMc	MPExt
MPExtI3	MP	Ext	BMc	MPExt
MPExtI4	MP	Ext	BMc	MPExt
MPIntI1	MP	Int	BMc	MPInt
MPIntI2	MP	Int	BMc	MPInt
MPIntI3	MP	Int	BMc	MPInt
MPIntI4	MP	Int	BMc	MPInt
CTExtI1	CT	Ext	BMc	CTExt
CTExtI2	CT	Ext	BMc	CTExt
CTExtI3	CT	Ext	BMc	CTExt
CTExtI4	CT	Ext	BMc	CTExt
CTIntI1	CT	Int	BMc	CTInt
CTIntI2	CT	Int	BMc	CTInt
CTIntI3	CT	Int	BMc	CTInt
CTIntI4	CT	Int	BMc	CTInt
