Sample,Tillage,Int ,BMc
MP.Ext.C.1,MP,Extensive,Ctrl
MP.Ext.C.2,MP,Extensive,Ctrl
MP.Ext.C.3,MP,Extensive,Ctrl
MP.Ext.C.4,MP,Extensive,Ctrl
MP.Int.C.1,MP,Intensive,Ctrl
MP.Int.C.2,MP,Intensive,Ctrl
MP.Int.C.3,MP,Intensive,Ctrl
MP.Int.C.4,MP,Intensive,Ctrl
CT.Ext.C.1,CT,Extensive,Ctrl
CT.Ext.C.2,CT,Extensive,Ctrl
CT.Ext.C.3,CT,Extensive,Ctrl
CT.Ext.C.4,CT,Extensive,Ctrl
CT.Int.C.1,CT,Intensive,Ctrl
CT.Int.C.2,CT,Intensive,Ctrl
CT.Int.C.3,CT,Intensive,Ctrl
CT.Int.C.4,CT,Intensive,Ctrl
MP.Ext.I.1,MP,Extensive,BMc
MP.Ext.I.2,MP,Extensive,BMc
MP.Ext.I.3,MP,Extensive,BMc
MP.Ext.I.4,MP,Extensive,BMc
MP.Int.I.1,MP,Intensive,BMc
MP.Int.I.2,MP,Intensive,BMc
MP.Int.I.3,MP,Intensive,BMc
MP.Int.I.4,MP,Intensive,BMc
CT.Ext.I.1,CT,Extensive,BMc
CT.Ext.I.2,CT,Extensive,BMc
CT.Ext.I.3,CT,Extensive,BMc
CT.Ext.I.4,CT,Extensive,BMc
CT.Int.I.1,CT,Intensive,BMc
CT.Int.I.2,CT,Intensive,BMc
CT.Int.I.3,CT,Intensive,BMc
CT.Int.I.4,CT,Intensive,BMc
