locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHGKHPCG_00001	gene	477	bcp_1			
MHGKHPCG_00001	CDS	477	bcp_1	1.11.1.15	COG1225	Peroxiredoxin Bcp
MHGKHPCG_00002	gene	384				
MHGKHPCG_00002	CDS	384				hypothetical protein
MHGKHPCG_00003	gene	1233	alaA			
MHGKHPCG_00003	CDS	1233	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
MHGKHPCG_00004	gene	1338	hom			
MHGKHPCG_00004	CDS	1338	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
MHGKHPCG_00005	gene	1419	thrC			
MHGKHPCG_00005	CDS	1419	thrC	4.2.3.1	COG0498	Threonine synthase
MHGKHPCG_00006	gene	1248	moeA_1			
MHGKHPCG_00006	CDS	1248	moeA_1	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
MHGKHPCG_00007	gene	252	moaD			
MHGKHPCG_00007	CDS	252	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
MHGKHPCG_00008	gene	480	moaE			
MHGKHPCG_00008	CDS	480	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
MHGKHPCG_00009	gene	495	C1-hpah			
MHGKHPCG_00009	CDS	495	C1-hpah	1.5.1.36		p-hydroxyphenylacetate 3-hydroxylase, reductase component
MHGKHPCG_00010	gene	2595	clpB			
MHGKHPCG_00010	CDS	2595	clpB		COG0542	Chaperone protein ClpB
MHGKHPCG_00011	gene	732				
MHGKHPCG_00011	CDS	732				hypothetical protein
MHGKHPCG_00012	gene	1278				
MHGKHPCG_00012	CDS	1278				hypothetical protein
MHGKHPCG_00013	gene	1617	nadB			
MHGKHPCG_00013	CDS	1617	nadB	1.4.3.16	COG0029	L-aspartate oxidase
MHGKHPCG_00014	gene	1806				
MHGKHPCG_00014	CDS	1806				hypothetical protein
MHGKHPCG_00015	gene	291				
MHGKHPCG_00015	CDS	291				hypothetical protein
MHGKHPCG_00016	gene	858	nadC_1			
MHGKHPCG_00016	CDS	858	nadC_1	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
MHGKHPCG_00017	gene	1119	nadA			
MHGKHPCG_00017	CDS	1119	nadA	2.5.1.72	COG0379	Quinolinate synthase A
MHGKHPCG_00018	gene	840	nimR_1			
MHGKHPCG_00018	CDS	840	nimR_1			HTH-type transcriptional regulator NimR
MHGKHPCG_00019	gene	1242				
MHGKHPCG_00019	CDS	1242				hypothetical protein
MHGKHPCG_00020	gene	1701	ilvG			
MHGKHPCG_00020	CDS	1701	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
MHGKHPCG_00021	gene	909	yedA			
MHGKHPCG_00021	CDS	909	yedA			putative inner membrane transporter YedA
MHGKHPCG_00022	gene	462	lrpC_1			
MHGKHPCG_00022	CDS	462	lrpC_1		COG1522	HTH-type transcriptional regulator LrpC
MHGKHPCG_00023	gene	492				
MHGKHPCG_00023	CDS	492		4.1.3.17	COG0684	4-hydroxy-4-methyl-2-oxoglutarate aldolase
MHGKHPCG_00024	gene	507				
MHGKHPCG_00024	CDS	507				hypothetical protein
MHGKHPCG_00025	gene	77				
MHGKHPCG_00025	tRNA	77				tRNA-Pro(tgg)
MHGKHPCG_00026	gene	1077				
MHGKHPCG_00026	CDS	1077				hypothetical protein
	CRISPR	250				
MHGKHPCG_00027	gene	2859	sucA			
MHGKHPCG_00027	CDS	2859	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
MHGKHPCG_00028	gene	351				
MHGKHPCG_00028	CDS	351				hypothetical protein
MHGKHPCG_00029	gene	954				
MHGKHPCG_00029	CDS	954				hypothetical protein
MHGKHPCG_00030	gene	1776	dmdC_1			
MHGKHPCG_00030	CDS	1776	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
MHGKHPCG_00031	gene	933	etfA			
MHGKHPCG_00031	CDS	933	etfA		COG2025	Electron transfer flavoprotein subunit alpha
MHGKHPCG_00032	gene	750	etfB			
MHGKHPCG_00032	CDS	750	etfB			Electron transfer flavoprotein subunit beta
MHGKHPCG_00033	gene	1296				
MHGKHPCG_00033	CDS	1296				hypothetical protein
MHGKHPCG_00034	gene	1395	norG_1			
MHGKHPCG_00034	CDS	1395	norG_1		COG1167	HTH-type transcriptional regulator NorG
MHGKHPCG_00035	gene	321				
MHGKHPCG_00035	CDS	321				hypothetical protein
MHGKHPCG_00036	gene	654				
MHGKHPCG_00036	CDS	654				hypothetical protein
MHGKHPCG_00037	gene	2076				
MHGKHPCG_00037	CDS	2076				hypothetical protein
MHGKHPCG_00038	gene	648	ompA_1			
MHGKHPCG_00038	CDS	648	ompA_1			Outer membrane protein A
MHGKHPCG_00039	gene	588				
MHGKHPCG_00039	CDS	588				hypothetical protein
MHGKHPCG_00040	gene	92				
MHGKHPCG_00040	tRNA	92				tRNA-Leu(taa)
MHGKHPCG_00041	gene	74				
MHGKHPCG_00041	tRNA	74				tRNA-Cys(gca)
MHGKHPCG_00042	gene	76				
MHGKHPCG_00042	tRNA	76				tRNA-Gly(gcc)
MHGKHPCG_00043	gene	2424	lon_1			
MHGKHPCG_00043	CDS	2424	lon_1	3.4.21.53	COG0466	Lon protease
MHGKHPCG_00044	gene	1272	clpX			
MHGKHPCG_00044	CDS	1272	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
MHGKHPCG_00045	gene	609	clpP_1			
MHGKHPCG_00045	CDS	609	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
MHGKHPCG_00046	gene	1311	tig			
MHGKHPCG_00046	CDS	1311	tig	5.2.1.8	COG0544	Trigger factor
MHGKHPCG_00047	gene	87				
MHGKHPCG_00047	tRNA	87				tRNA-Leu(tag)
MHGKHPCG_00048	gene	3165	czcA			
MHGKHPCG_00048	CDS	3165	czcA			Cobalt-zinc-cadmium resistance protein CzcA
MHGKHPCG_00049	gene	1089	mdtA_1			
MHGKHPCG_00049	CDS	1089	mdtA_1			Multidrug resistance protein MdtA
MHGKHPCG_00050	gene	852	hpnC			
MHGKHPCG_00050	CDS	852	hpnC	4.2.3.156	COG1562	Hydroxysqualene synthase
MHGKHPCG_00051	gene	849	crtB			
MHGKHPCG_00051	CDS	849	crtB	2.5.1.-	COG1562	Phytoene synthase
MHGKHPCG_00052	gene	1293	hpnE			
MHGKHPCG_00052	CDS	1293	hpnE	1.17.8.1	COG2907	Hydroxysqualene dehydroxylase
MHGKHPCG_00053	gene	768	yiaJ			
MHGKHPCG_00053	CDS	768	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
MHGKHPCG_00054	gene	1062				
MHGKHPCG_00054	CDS	1062				hypothetical protein
MHGKHPCG_00055	gene	1542	leuA_1			
MHGKHPCG_00055	CDS	1542	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
MHGKHPCG_00056	gene	849				
MHGKHPCG_00056	CDS	849				hypothetical protein
MHGKHPCG_00057	gene	1017	ilvC			
MHGKHPCG_00057	CDS	1017	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
MHGKHPCG_00058	gene	492	ilvH			
MHGKHPCG_00058	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
MHGKHPCG_00059	gene	1773	ilvI_1			
MHGKHPCG_00059	CDS	1773	ilvI_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
MHGKHPCG_00060	gene	588				
MHGKHPCG_00060	CDS	588				hypothetical protein
MHGKHPCG_00061	gene	423				
MHGKHPCG_00061	CDS	423				hypothetical protein
MHGKHPCG_00062	gene	708				
MHGKHPCG_00062	CDS	708				hypothetical protein
MHGKHPCG_00063	gene	522				
MHGKHPCG_00063	CDS	522				hypothetical protein
MHGKHPCG_00064	gene	411	dgkA			
MHGKHPCG_00064	CDS	411	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
MHGKHPCG_00065	gene	603				
MHGKHPCG_00065	CDS	603		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
MHGKHPCG_00066	gene	339	glnB			
MHGKHPCG_00066	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
MHGKHPCG_00067	gene	1659	nadE			
MHGKHPCG_00067	CDS	1659	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
MHGKHPCG_00068	gene	1188				
MHGKHPCG_00068	CDS	1188				hypothetical protein
MHGKHPCG_00069	gene	543	ppa			
MHGKHPCG_00069	CDS	543	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
MHGKHPCG_00070	gene	2172	hppA			
MHGKHPCG_00070	CDS	2172	hppA	7.1.3.1	COG3808	K(+)-insensitive pyrophosphate-energized proton pump
MHGKHPCG_00071	gene	273				
MHGKHPCG_00071	CDS	273				hypothetical protein
MHGKHPCG_00072	gene	1326	ubiB_1			
MHGKHPCG_00072	CDS	1326	ubiB_1	2.7.-.-		protein kinase UbiB
MHGKHPCG_00073	gene	855				
MHGKHPCG_00073	CDS	855				hypothetical protein
MHGKHPCG_00074	gene	1830	typA			
MHGKHPCG_00074	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
MHGKHPCG_00075	gene	1008	truB			
MHGKHPCG_00075	CDS	1008	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
MHGKHPCG_00076	gene	366	rbfA			
MHGKHPCG_00076	CDS	366	rbfA		COG0858	30S ribosome-binding factor
MHGKHPCG_00077	gene	2913	infB			
MHGKHPCG_00077	CDS	2913	infB			Translation initiation factor IF-2
MHGKHPCG_00078	gene	1479	nusA			
MHGKHPCG_00078	CDS	1479	nusA		COG0195	Transcription termination/antitermination protein NusA
MHGKHPCG_00079	gene	585	rimP			
MHGKHPCG_00079	CDS	585	rimP			Ribosome maturation factor RimP
MHGKHPCG_00080	gene	783	fabI			
MHGKHPCG_00080	CDS	783	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
MHGKHPCG_00081	gene	2268	cadA			
MHGKHPCG_00081	CDS	2268	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
MHGKHPCG_00082	gene	375				
MHGKHPCG_00082	CDS	375				hypothetical protein
MHGKHPCG_00083	gene	91				
MHGKHPCG_00083	tRNA	91				tRNA-Ser(gga)
MHGKHPCG_00084	gene	942	yijE_1			
MHGKHPCG_00084	CDS	942	yijE_1			putative cystine transporter YijE
MHGKHPCG_00085	gene	810	nimR_2			
MHGKHPCG_00085	CDS	810	nimR_2			HTH-type transcriptional regulator NimR
MHGKHPCG_00086	gene	1089				
MHGKHPCG_00086	CDS	1089				hypothetical protein
MHGKHPCG_00087	gene	912				
MHGKHPCG_00087	CDS	912				hypothetical protein
MHGKHPCG_00088	gene	885				
MHGKHPCG_00088	CDS	885		2.7.1.-		putative ketoamine kinase
MHGKHPCG_00089	gene	510				
MHGKHPCG_00089	CDS	510				hypothetical protein
MHGKHPCG_00090	gene	165				
MHGKHPCG_00090	CDS	165				hypothetical protein
MHGKHPCG_00091	gene	336				
MHGKHPCG_00091	CDS	336				hypothetical protein
MHGKHPCG_00092	gene	186				
MHGKHPCG_00092	CDS	186				hypothetical protein
MHGKHPCG_00093	gene	165				
MHGKHPCG_00093	CDS	165				hypothetical protein
MHGKHPCG_00094	gene	384				
MHGKHPCG_00094	CDS	384				hypothetical protein
MHGKHPCG_00095	gene	168				
MHGKHPCG_00095	CDS	168				hypothetical protein
MHGKHPCG_00096	gene	441				
MHGKHPCG_00096	CDS	441				hypothetical protein
MHGKHPCG_00097	gene	1371				
MHGKHPCG_00097	CDS	1371				hypothetical protein
MHGKHPCG_00098	gene	408				
MHGKHPCG_00098	CDS	408				hypothetical protein
MHGKHPCG_00099	gene	222				
MHGKHPCG_00099	CDS	222				hypothetical protein
MHGKHPCG_00100	gene	582	porC			
MHGKHPCG_00100	CDS	582	porC	1.2.7.1	COG1014	Pyruvate synthase subunit PorC
MHGKHPCG_00101	gene	1254	porA			
MHGKHPCG_00101	CDS	1254	porA	1.2.7.1	COG0674	Pyruvate synthase subunit PorA
MHGKHPCG_00102	gene	987	porB			
MHGKHPCG_00102	CDS	987	porB	1.2.7.1	COG1013	Pyruvate synthase subunit PorB
MHGKHPCG_00103	gene	1626	sfrB			
MHGKHPCG_00103	CDS	1626	sfrB	1.-.-.-	COG0493	NADPH-Fe(3+) oxidoreductase subunit beta
MHGKHPCG_00104	gene	1290				
MHGKHPCG_00104	CDS	1290				hypothetical protein
MHGKHPCG_00105	gene	2355				
MHGKHPCG_00105	CDS	2355				hypothetical protein
MHGKHPCG_00106	gene	1635				
MHGKHPCG_00106	CDS	1635				hypothetical protein
MHGKHPCG_00107	gene	156	pucB			
MHGKHPCG_00107	CDS	156	pucB			Light-harvesting protein B-800/850 beta chain
MHGKHPCG_00108	gene	216				
MHGKHPCG_00108	CDS	216				hypothetical protein
MHGKHPCG_00109	gene	1413	pucC_1			
MHGKHPCG_00109	CDS	1413	pucC_1			Protein PucC
MHGKHPCG_00110	gene	2052				
MHGKHPCG_00110	CDS	2052				hypothetical protein
MHGKHPCG_00111	gene	702				
MHGKHPCG_00111	CDS	702				hypothetical protein
MHGKHPCG_00112	gene	363				
MHGKHPCG_00112	CDS	363				hypothetical protein
MHGKHPCG_00113	gene	627	fixJ_1			
MHGKHPCG_00113	CDS	627	fixJ_1			Transcriptional regulatory protein FixJ
MHGKHPCG_00114	gene	1758	ttrS			
MHGKHPCG_00114	CDS	1758	ttrS	2.7.13.3	COG0642	Tetrathionate sensor histidine kinase TtrS
MHGKHPCG_00115	gene	2070				
MHGKHPCG_00115	CDS	2070				hypothetical protein
MHGKHPCG_00116	gene	825	murI			
MHGKHPCG_00116	CDS	825	murI	5.1.1.3	COG0796	Glutamate racemase
MHGKHPCG_00117	gene	624				
MHGKHPCG_00117	CDS	624				hypothetical protein
MHGKHPCG_00118	gene	135				
MHGKHPCG_00118	CDS	135				hypothetical protein
MHGKHPCG_00119	gene	303				
MHGKHPCG_00119	CDS	303				hypothetical protein
MHGKHPCG_00120	gene	1002	hisC_1			
MHGKHPCG_00120	CDS	1002	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
MHGKHPCG_00121	gene	921	cobD			
MHGKHPCG_00121	CDS	921	cobD		COG1270	Cobalamin biosynthesis protein CobD
MHGKHPCG_00122	gene	888	btuF_1			
MHGKHPCG_00122	CDS	888	btuF_1		COG0614	Vitamin B12-binding protein
MHGKHPCG_00123	gene	660	cbiA			
MHGKHPCG_00123	CDS	660	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
MHGKHPCG_00124	gene	927	rlpA			
MHGKHPCG_00124	CDS	927	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
MHGKHPCG_00125	gene	1290	rutG			
MHGKHPCG_00125	CDS	1290	rutG		COG2233	Putative pyrimidine permease RutG
MHGKHPCG_00126	gene	75				
MHGKHPCG_00126	tRNA	75				tRNA-Arg(ccg)
MHGKHPCG_00127	gene	525				
MHGKHPCG_00127	CDS	525				hypothetical protein
MHGKHPCG_00128	gene	519				
MHGKHPCG_00128	CDS	519				hypothetical protein
MHGKHPCG_00129	gene	969				
MHGKHPCG_00129	CDS	969				hypothetical protein
MHGKHPCG_00130	gene	453				
MHGKHPCG_00130	CDS	453				hypothetical protein
MHGKHPCG_00131	gene	972	purU			
MHGKHPCG_00131	CDS	972	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
MHGKHPCG_00132	gene	3168	rcsC_1			
MHGKHPCG_00132	CDS	3168	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
MHGKHPCG_00133	gene	1746	rcsC_2			
MHGKHPCG_00133	CDS	1746	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
MHGKHPCG_00134	gene	1155				
MHGKHPCG_00134	CDS	1155		3.1.4.-	COG3437	putative cyclic di-GMP phosphodiesterase
MHGKHPCG_00135	gene	1302				
MHGKHPCG_00135	CDS	1302				hypothetical protein
MHGKHPCG_00136	gene	417				
MHGKHPCG_00136	CDS	417				hypothetical protein
MHGKHPCG_00137	gene	1566	rcsC_3			
MHGKHPCG_00137	CDS	1566	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
MHGKHPCG_00138	gene	204				
MHGKHPCG_00138	CDS	204				hypothetical protein
MHGKHPCG_00139	gene	924	ilvE			
MHGKHPCG_00139	CDS	924	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
MHGKHPCG_00140	gene	408				
MHGKHPCG_00140	CDS	408				hypothetical protein
MHGKHPCG_00141	gene	759				
MHGKHPCG_00141	CDS	759				hypothetical protein
MHGKHPCG_00142	gene	1353	radA			
MHGKHPCG_00142	CDS	1353	radA	3.6.4.-	COG1066	DNA repair protein RadA
MHGKHPCG_00143	gene	408	arfB			
MHGKHPCG_00143	CDS	408	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
MHGKHPCG_00144	gene	1089	dadX			
MHGKHPCG_00144	CDS	1089	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
MHGKHPCG_00145	gene	1278	lplT			
MHGKHPCG_00145	CDS	1278	lplT			Lysophospholipid transporter LplT
MHGKHPCG_00146	gene	894				
MHGKHPCG_00146	CDS	894				hypothetical protein
MHGKHPCG_00147	gene	732				
MHGKHPCG_00147	CDS	732				hypothetical protein
MHGKHPCG_00148	gene	489	gpx1			
MHGKHPCG_00148	CDS	489	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
MHGKHPCG_00149	gene	1197	tyrB_1			
MHGKHPCG_00149	CDS	1197	tyrB_1	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
MHGKHPCG_00150	gene	945	pcpR			
MHGKHPCG_00150	CDS	945	pcpR			PCP degradation transcriptional activation protein
MHGKHPCG_00151	gene	243				
MHGKHPCG_00151	CDS	243				hypothetical protein
MHGKHPCG_00152	gene	957	dppB_1			
MHGKHPCG_00152	CDS	957	dppB_1		COG0601	Dipeptide transport system permease protein DppB
MHGKHPCG_00153	gene	888	gsiD			
MHGKHPCG_00153	CDS	888	gsiD		COG1173	Glutathione transport system permease protein GsiD
MHGKHPCG_00154	gene	525				
MHGKHPCG_00154	CDS	525				hypothetical protein
MHGKHPCG_00155	gene	1002				
MHGKHPCG_00155	CDS	1002				Outer membrane porin protein 32
MHGKHPCG_00156	gene	972	oppD_1			
MHGKHPCG_00156	CDS	972	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
MHGKHPCG_00157	gene	816	gsiA_1			
MHGKHPCG_00157	CDS	816	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
MHGKHPCG_00158	gene	1503	dppA_1			
MHGKHPCG_00158	CDS	1503	dppA_1		COG0747	Periplasmic dipeptide transport protein
MHGKHPCG_00159	gene	84				
MHGKHPCG_00159	tRNA	84				tRNA-Arg(acg)
MHGKHPCG_00160	gene	1353				
MHGKHPCG_00160	CDS	1353				hypothetical protein
MHGKHPCG_00161	gene	381				
MHGKHPCG_00161	CDS	381				hypothetical protein
MHGKHPCG_00162	gene	468				
MHGKHPCG_00162	CDS	468				hypothetical protein
MHGKHPCG_00163	gene	504				
MHGKHPCG_00163	CDS	504		2.3.1.-	COG1670	Acetyltransferase
MHGKHPCG_00164	gene	309				
MHGKHPCG_00164	CDS	309				hypothetical protein
MHGKHPCG_00165	gene	1500	glpK			
MHGKHPCG_00165	CDS	1500	glpK	2.7.1.30	COG0554	Glycerol kinase
MHGKHPCG_00166	gene	852				
MHGKHPCG_00166	CDS	852				hypothetical protein
MHGKHPCG_00167	gene	1818				
MHGKHPCG_00167	CDS	1818				hypothetical protein
MHGKHPCG_00168	gene	972	ytfF			
MHGKHPCG_00168	CDS	972	ytfF			Inner membrane protein YtfF
MHGKHPCG_00169	gene	1245	lutA			
MHGKHPCG_00169	CDS	1245	lutA			Lactate utilization protein A
MHGKHPCG_00170	gene	636				
MHGKHPCG_00170	CDS	636				hypothetical protein
MHGKHPCG_00171	gene	1095				
MHGKHPCG_00171	CDS	1095				hypothetical protein
MHGKHPCG_00172	gene	1527				
MHGKHPCG_00172	CDS	1527		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
MHGKHPCG_00173	gene	1341				
MHGKHPCG_00173	CDS	1341				hypothetical protein
MHGKHPCG_00174	gene	1182				
MHGKHPCG_00174	CDS	1182			COG4398	putative protein
MHGKHPCG_00175	gene	564				
MHGKHPCG_00175	CDS	564				hypothetical protein
MHGKHPCG_00176	gene	930				
MHGKHPCG_00176	CDS	930				hypothetical protein
MHGKHPCG_00177	gene	954				
MHGKHPCG_00177	CDS	954				hypothetical protein
MHGKHPCG_00178	gene	459				
MHGKHPCG_00178	CDS	459				hypothetical protein
MHGKHPCG_00179	gene	477	dsbB			
MHGKHPCG_00179	CDS	477	dsbB			Disulfide bond formation protein B
MHGKHPCG_00180	gene	750				
MHGKHPCG_00180	CDS	750				hypothetical protein
MHGKHPCG_00181	gene	2316	parC			
MHGKHPCG_00181	CDS	2316	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
MHGKHPCG_00182	gene	696	emtA			
MHGKHPCG_00182	CDS	696	emtA	4.2.2.-		Endo-type membrane-bound lytic murein transglycosylase A
MHGKHPCG_00183	gene	1584				
MHGKHPCG_00183	CDS	1584				hypothetical protein
MHGKHPCG_00184	gene	1974	parE			
MHGKHPCG_00184	CDS	1974	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
MHGKHPCG_00185	gene	1254	dadA1			
MHGKHPCG_00185	CDS	1254	dadA1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
MHGKHPCG_00186	gene	1227				
MHGKHPCG_00186	CDS	1227				L-lactate transporter
MHGKHPCG_00187	gene	123				
MHGKHPCG_00187	CDS	123				hypothetical protein
MHGKHPCG_00188	gene	549				
MHGKHPCG_00188	CDS	549				hypothetical protein
MHGKHPCG_00189	gene	885	dapA_1			
MHGKHPCG_00189	CDS	885	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
MHGKHPCG_00190	gene	1191				
MHGKHPCG_00190	CDS	1191			COG3317	putative protein
MHGKHPCG_00191	gene	192				
MHGKHPCG_00191	CDS	192				hypothetical protein
MHGKHPCG_00192	gene	489				
MHGKHPCG_00192	CDS	489				hypothetical protein
MHGKHPCG_00193	gene	1131				
MHGKHPCG_00193	CDS	1131		1.14.11.-	COG2850	putative ribosomal oxygenase
MHGKHPCG_00194	gene	522	slyD			
MHGKHPCG_00194	CDS	522	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
MHGKHPCG_00195	gene	450	dut			
MHGKHPCG_00195	CDS	450	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
MHGKHPCG_00196	gene	1227	coaBC			
MHGKHPCG_00196	CDS	1227	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
MHGKHPCG_00197	gene	771				
MHGKHPCG_00197	CDS	771				hypothetical protein
MHGKHPCG_00198	gene	2634	alaS_1			
MHGKHPCG_00198	CDS	2634	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
MHGKHPCG_00199	gene	726				
MHGKHPCG_00199	CDS	726				hypothetical protein
MHGKHPCG_00200	gene	1479				
MHGKHPCG_00200	CDS	1479		1.2.1.97		3-sulfolactaldehyde dehydrogenase
MHGKHPCG_00201	gene	897				
MHGKHPCG_00201	CDS	897				hypothetical protein
MHGKHPCG_00202	gene	1356				
MHGKHPCG_00202	CDS	1356				hypothetical protein
MHGKHPCG_00203	gene	74				
MHGKHPCG_00203	tRNA	74				tRNA-Gly(ccc)
MHGKHPCG_00204	gene	684	trmB			
MHGKHPCG_00204	CDS	684	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
MHGKHPCG_00205	gene	858	uppP			
MHGKHPCG_00205	CDS	858	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
MHGKHPCG_00206	gene	693	betI_1			
MHGKHPCG_00206	CDS	693	betI_1			HTH-type transcriptional regulator BetI
MHGKHPCG_00207	gene	675	pcm_1			
MHGKHPCG_00207	CDS	675	pcm_1	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
MHGKHPCG_00208	gene	1326	tolC			
MHGKHPCG_00208	CDS	1326	tolC		COG1538	Outer membrane protein TolC
MHGKHPCG_00209	gene	97				
MHGKHPCG_00209	tRNA	97				tRNA-Asp(gtc)
MHGKHPCG_00210	gene	1404	algC			
MHGKHPCG_00210	CDS	1404	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
MHGKHPCG_00211	gene	1839				
MHGKHPCG_00211	CDS	1839				hypothetical protein
MHGKHPCG_00212	gene	1449	alkA_1			
MHGKHPCG_00212	CDS	1449	alkA_1		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
MHGKHPCG_00213	gene	498	ogt			
MHGKHPCG_00213	CDS	498	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
MHGKHPCG_00214	gene	885				
MHGKHPCG_00214	CDS	885				IS1595 family transposase ISBsp7
MHGKHPCG_00215	gene	321				
MHGKHPCG_00215	CDS	321				hypothetical protein
MHGKHPCG_00216	gene	432				
MHGKHPCG_00216	CDS	432				hypothetical protein
MHGKHPCG_00217	gene	1431	norM			
MHGKHPCG_00217	CDS	1431	norM		COG0534	Multidrug resistance protein NorM
MHGKHPCG_00218	gene	96				
MHGKHPCG_00218	tRNA	96				tRNA-Ala(tgc)
MHGKHPCG_00219	gene	705	ompR_1			
MHGKHPCG_00219	CDS	705	ompR_1			Transcriptional regulatory protein OmpR
MHGKHPCG_00220	gene	549				
MHGKHPCG_00220	CDS	549				hypothetical protein
MHGKHPCG_00221	gene	924				
MHGKHPCG_00221	CDS	924				hypothetical protein
MHGKHPCG_00222	gene	273				
MHGKHPCG_00222	CDS	273				hypothetical protein
MHGKHPCG_00223	gene	534				
MHGKHPCG_00223	CDS	534				hypothetical protein
MHGKHPCG_00224	gene	1563				
MHGKHPCG_00224	CDS	1563			COG0645	putative protein
MHGKHPCG_00225	gene	189				
MHGKHPCG_00225	CDS	189				hypothetical protein
MHGKHPCG_00226	gene	828				
MHGKHPCG_00226	CDS	828				hypothetical protein
MHGKHPCG_00227	gene	651				
MHGKHPCG_00227	CDS	651				hypothetical protein
MHGKHPCG_00228	gene	1170	moaA_1			
MHGKHPCG_00228	CDS	1170	moaA_1			GTP 3',8-cyclase
MHGKHPCG_00229	gene	285				
MHGKHPCG_00229	CDS	285				hypothetical protein
MHGKHPCG_00230	gene	1422				
MHGKHPCG_00230	CDS	1422				hypothetical protein
MHGKHPCG_00231	gene	2211	katG			
